"name","slug","description","TERMID","municilality","municipality_name"
"調布市グリーンホール","%e8%aa%bf%e5%b8%83%e5%b8%82%e3%82%b0%e3%83%aa%e3%83%bc%e3%83%b3%e3%83%9b%e3%83%bc%e3%83%ab",,"238",,
"板橋区立文化会館","%e6%9d%bf%e6%a9%8b%e5%8c%ba%e7%ab%8b%e6%96%87%e5%8c%96%e4%bc%9a%e9%a4%a8",,"239",,
"北とぴあ","%e5%8c%97%e3%81%a8%e3%81%b4%e3%81%82",,"240",,
"パルテノン多摩","%e3%83%91%e3%83%ab%e3%83%86%e3%83%8e%e3%83%b3%e5%a4%9a%e6%91%a9",,"241",,
"西東京市保谷こもれびホール","%e8%a5%bf%e6%9d%b1%e4%ba%ac%e5%b8%82%e4%bf%9d%e8%b0%b7%e3%81%93%e3%82%82%e3%82%8c%e3%81%b3%e3%83%9b%e3%83%bc%e3%83%ab",,"242",,
"武蔵村山市民会館（さくらホール）","%e6%ad%a6%e8%94%b5%e6%9d%91%e5%b1%b1%e5%b8%82%e6%b0%91%e4%bc%9a%e9%a4%a8%ef%bc%88%e3%81%95%e3%81%8f%e3%82%89%e3%83%9b%e3%83%bc%e3%83%ab%ef%bc%89",,"243",,
"三鷹市芸術文化センター","%e4%b8%89%e9%b7%b9%e5%b8%82%e8%8a%b8%e8%a1%93%e6%96%87%e5%8c%96%e3%82%bb%e3%83%b3%e3%82%bf%e3%83%bc",,"244",,
"めぐろパーシモンホール","%e3%82%81%e3%81%90%e3%82%8d%e3%83%91%e3%83%bc%e3%82%b7%e3%83%a2%e3%83%b3%e3%83%9b%e3%83%bc%e3%83%ab",,"245",,
"ティアラこうとう（江東公会堂）","%e3%83%86%e3%82%a3%e3%82%a2%e3%83%a9%e3%81%93%e3%81%86%e3%81%a8%e3%81%86%ef%bc%88%e6%b1%9f%e6%9d%b1%e5%85%ac%e4%bc%9a%e5%a0%82%ef%bc%89",,"246",,
"かつしかシンフォニーヒルズ","%e3%81%8b%e3%81%a4%e3%81%97%e3%81%8b%e3%82%b7%e3%83%b3%e3%83%95%e3%82%a9%e3%83%8b%e3%83%bc%e3%83%92%e3%83%ab%e3%82%ba",,"247",,
"秋川キララホール","%e7%a7%8b%e5%b7%9d%e3%82%ad%e3%83%a9%e3%83%a9%e3%83%9b%e3%83%bc%e3%83%ab",,"248",,
"練馬区立練馬文化センター","%e7%b7%b4%e9%a6%ac%e5%8c%ba%e7%ab%8b%e7%b7%b4%e9%a6%ac%e6%96%87%e5%8c%96%e3%82%bb%e3%83%b3%e3%82%bf%e3%83%bc",,"249",,
"小金井 宮地楽器ホール（小金井市民交流センター）","%e5%b0%8f%e9%87%91%e4%ba%95-%e5%ae%ae%e5%9c%b0%e6%a5%bd%e5%99%a8%e3%83%9b%e3%83%bc%e3%83%ab%ef%bc%88%e5%b0%8f%e9%87%91%e4%ba%95%e5%b8%82%e6%b0%91%e4%ba%a4%e6%b5%81%e3%82%bb%e3%83%b3%e3%82%bf%e3%83%bc",,"250",,
"大田区民ホール・アプリコ","%e5%a4%a7%e7%94%b0%e5%8c%ba%e6%b0%91%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%bb%e3%82%a2%e3%83%97%e3%83%aa%e3%82%b3",,"251",,
"会場テスト２","%e4%bc%9a%e5%a0%b4%e3%83%86%e3%82%b9%e3%83%88%ef%bc%92",,"8",,
