id,Title,開催年度,主催,開催時間,期間_date,期間_date_to,単日/複数日_date
2431,"鑑賞プログラム BLUE STAGE",2016,アーツカウンシル東京|国際交流基金アジアセンター|株式会社パルコ,20161120,"a:1:{s:4:""time"";a:2:{i:0;a:3:{s:9:""time_from"";s:8:""12:00:00"";s:7:""time_to"";s:8:""12:40:00"";s:10:""time_bikou"";s:0:"""";}i:1;a:3:{s:9:""time_from"";s:8:""14:30:00"";s:7:""time_to"";s:8:""16:15:00"";s:10:""time_bikou"";s:0:"""";}}}",,
2433,"SHIBUYA STREET SHOW",2016,アーツカウンシル東京|国際交流基金アジアセンター|株式会社パルコ,20161119,"a:1:{s:4:""time"";a:2:{i:0;a:3:{s:9:""time_from"";s:8:""13:00:00"";s:7:""time_to"";s:8:""13:30:00"";s:10:""time_bikou"";s:0:"""";}i:1;a:3:{s:9:""time_from"";s:8:""17:00:00"";s:7:""time_to"";s:8:""17:30:00"";s:10:""time_bikou"";s:0:"""";}}}",,
2435,リス・ビヤルバ,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170901,20170930
2437,ハカン・トパル,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170501,20170529
2438,第６回,2017,東京都庭園美術館|株式会社ジャパン・アーツ,20180228,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""18:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",,
2439,第７回,2017,東京都庭園美術館|株式会社ジャパン・アーツ,20180310,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""14:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",,
2440,"SSDW CONTEST 高校生対抗ストリートダンス選手権",2016,アーツカウンシル東京|国際交流基金アジアセンター|株式会社パルコ,20161120,"a:1:{s:4:""time"";a:2:{i:0;a:3:{s:9:""time_from"";s:8:""12:40:00"";s:7:""time_to"";s:8:""14:15:00"";s:10:""time_bikou"";s:0:"""";}i:1;a:3:{s:9:""time_from"";s:8:""16:10:00"";s:7:""time_to"";s:8:""16:30:00"";s:10:""time_bikou"";s:0:"""";}}}",,
2441,第８回,2017,東京都庭園美術館|株式会社ジャパン・アーツ,20180310,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""18:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",,
2443,広瀬菜々&永谷一馬,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170516,20170615
2444,"DANCE WITH music フラッシュモブ",2016,アーツカウンシル東京|国際交流基金アジアセンター|株式会社パルコ,20161120,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""17:50:00"";s:7:""time_to"";s:8:""16:00:00"";s:10:""time_bikou"";s:0:"""";}}}",,
