Title,id,WEBサイトのアドレス,開催年度,主催,共催,協賛,協力,後援,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数
"「YEBIZO MEETS」Ⅳ 地域連携発信 特別イベント視覚障害者とつくる美術鑑賞ワークショップin恵比寿映像祭",4556,https://www.yebizo.com/jp/program/detail/2018-10-04,2017,東京都|アーツカウンシル東京|日本経済新聞社,サッポロ不動産開発株式会社|公益財団法人日仏会館,"全日本空輸株式会社|ゲーテ・インスティトゥート 東京ドイツ文化センター|サッポロビール株式会社|東京都写真美術館支援会員",アンスティチュ・フランセ日本−ヴィラ九条山|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社ロボット,"オーストラリア大使館|オランダ王国大使館|カナダ大使館|タイ王国大使館|ミャンマー連邦共和国大使館|ＴＢＳ|J-WAVE 81.3FM",2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
すてきな３にんぐみ,4559,,2016,参加・体験・感動！ふれあいこどもまつり実行委員会|日本児童・青少年演劇劇団協同組合（児演協）|公益社団法人日本児童青少年演劇協会|特定非営利活動法人日本青少年音楽芸能協会|一般社団法人全国専門人形劇団協議会|特定非営利活動法人子ども劇場東京都協議会|東京都|公益財団法人東京都歴史文化財団,特定非営利活動法人清瀬こども劇場,,,清瀬市|清瀬市教育委員会,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"SELL OUR BODY E×P",4561,http://www.tokyoartsandspace.jp/archive/2016/09/os-a11.shtml,2016,トーキョーワンダーサイト,,,,,4,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
しみじみクラゲ,4562,,2016,参加・体験・感動！ふれあいこどもまつり実行委員会|日本児童・青少年演劇劇団協同組合（児演協）|公益社団法人日本児童青少年演劇協会|特定非営利活動法人日本青少年音楽芸能協会|一般社団法人全国専門人形劇団協議会|特定非営利活動法人子ども劇場東京都協議会|東京都|公益財団法人東京都歴史文化財団,特定非営利活動法人清瀬こども劇場,,,清瀬市|清瀬市教育委員会,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
モンちゃん,4564,,2016,参加・体験・感動！ふれあいこどもまつり実行委員会|日本児童・青少年演劇劇団協同組合（児演協）|公益社団法人日本児童青少年演劇協会|特定非営利活動法人日本青少年音楽芸能協会|一般社団法人全国専門人形劇団協議会|特定非営利活動法人子ども劇場東京都協議会|東京都|公益財団法人東京都歴史文化財団,特定非営利活動法人清瀬こども劇場,,,清瀬市|清瀬市教育委員会,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
演劇,4566,,2016,参加・体験・感動！ふれあいこどもまつり実行委員会|日本児童・青少年演劇劇団協同組合（児演協）|公益社団法人日本児童青少年演劇協会|特定非営利活動法人日本青少年音楽芸能協会|一般社団法人全国専門人形劇団協議会|特定非営利活動法人子ども劇場東京都協議会|東京都|公益財団法人東京都歴史文化財団,特定非営利活動法人清瀬こども劇場,,,清瀬市|清瀬市教育委員会,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
Tsumugine,4568,http://www.tokyoartsandspace.jp/archive/2016/09/os-a12.shtml,2016,トーキョーワンダーサイト,,,,,7,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"Acoustic Device 騒音のための5楽章",4569,http://www.tokyoartsandspace.jp/archive/2016/08/os-b01.shtml,2016,トーキョーワンダーサイト,,,,,26,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"POST-ER OFFICE",4570,http://www.tokyoartsandspace.jp/archive/2016/08/os-b02.shtml,2016,トーキョーワンダーサイト,,,,,43,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
旗、越境者と無法地帯,4571,http://www.tokyoartsandspace.jp/archive/2016/08/os-b03.shtml,2016,トーキョーワンダーサイト,,財団法人国家文化芸術基金会（台湾）,,,26,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
Therapist,4572,http://www.tokyoartsandspace.jp/archive/2016/08/os-b04.shtml,2016,トーキョーワンダーサイト,,,,,26,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
