Title,id,WEBサイトのアドレス,開催年度,主催,共催,協賛,協力,後援,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数
赤い庇の旧印刷所,403,http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html,2016,東京都現代美術館|アーツカウンシル東京|東京都,,株式会社資生堂,"深川資料館通り商店街協同組合|江東区深川江戸資料館|共同紙工株式会社|日本仕事百貨|GRANTCHESTER HOUSE|江東区芭蕉記念館|江東区立深川図書館|公益財団法人東京都公園協会|法苑山 浄心寺|あづま屋文具店|京呉服・宝石の店 田巻屋|大久保クリーニング|三河屋精米店|杉原商店|Coci la elle|アライズ コーヒーロースターズ|fukadaso CAFE|iki ESPRESSO TOKYO|オールプレス エスプレッソ|mamma cafe 151A|しまぶっく|smokebooks|NOiS 清澄白河|深川ワイナリー株式会社（株式会社スイミージャパン）|株式会社 小柳出電気商会|宮坂醸造株式会社|WHITELIGHT, Ltd|株式会社Bcc|オヤイデ電気",江東区,23,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""2531"";s:6:""備考"";s:0:"""";}"
Ｆ邸,404,http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html,2016,東京都現代美術館|アーツカウンシル東京|東京都,,株式会社資生堂,"深川資料館通り商店街協同組合|江東区深川江戸資料館|共同紙工株式会社|日本仕事百貨|GRANTCHESTER HOUSE|江東区芭蕉記念館|江東区立深川図書館|公益財団法人東京都公園協会|法苑山 浄心寺|あづま屋文具店|京呉服・宝石の店 田巻屋|大久保クリーニング|三河屋精米店|杉原商店|Coci la elle|アライズ コーヒーロースターズ|fukadaso CAFE|iki ESPRESSO TOKYO|オールプレス エスプレッソ|mamma cafe 151A|しまぶっく|smokebooks|NOiS 清澄白河|深川ワイナリー株式会社（株式会社スイミージャパン）|株式会社 小柳出電気商会|宮坂醸造株式会社|WHITELIGHT, Ltd|株式会社Bcc|オヤイデ電気",江東区,23,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""2492"";s:6:""備考"";s:0:"""";}"
深川資料館通り商店街協同組合事務所,405,http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html,2016,東京都現代美術館|アーツカウンシル東京|東京都,,株式会社資生堂,"深川資料館通り商店街協同組合|江東区深川江戸資料館|共同紙工株式会社|日本仕事百貨|GRANTCHESTER HOUSE|江東区芭蕉記念館|江東区立深川図書館|公益財団法人東京都公園協会|法苑山 浄心寺|あづま屋文具店|京呉服・宝石の店 田巻屋|大久保クリーニング|三河屋精米店|杉原商店|Coci la elle|アライズ コーヒーロースターズ|fukadaso CAFE|iki ESPRESSO TOKYO|オールプレス エスプレッソ|mamma cafe 151A|しまぶっく|smokebooks|NOiS 清澄白河|深川ワイナリー株式会社（株式会社スイミージャパン）|株式会社 小柳出電気商会|宮坂醸造株式会社|WHITELIGHT, Ltd|株式会社Bcc|オヤイデ電気",江東区,23,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""2572"";s:6:""備考"";s:0:"""";}"
【特別展】ゴッホとゴーギャン展,408,https://www.tobikan.jp/exhibition/h28_goghandgauguin.html,2016,東京都美術館|東京新聞|ＴＢＳ,,"三井住友銀行|日本写真印刷|三井物産|損保ジャ パン日本興亜","エールフランス航空|KLMオランダ航空|日本航 空|オランダ政府観光局",オランダ王国大使館|TBSラジオ|BS-TBS,62,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:6:""391721"";s:6:""備考"";s:0:"""";}"
"オペラ「眠れる美女～House of theSleeping Beauties～」",409,http://www.t-bunka.jp/old/hsb/introduction.html,2016,東京文化会館,,,,ベルギー大使館,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""2716"";s:6:""備考"";s:0:"""";}"
映画「眠れる美女」特別上映会,410,http://www.t-bunka.jp/old/sponsership/spo_161104.html,2016,東京文化会館,東京都写真美術館,,,ベルギー大使館,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""109"";s:6:""備考"";s:0:"""";}"
日本･ベルギー交流150年の歴史,411,http://www.city.taito.lg.jp/index/bunka_kanko/torikumi/uenonoyama/koenkai.html,2016,東京文化会館,,,,ベルギー大使館,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""36"";s:6:""備考"";s:0:"""";}"
"東京芸術劇場パイプオルガンコンサート vol.21 エドガー・クラップ　オルガン・リサイタル",414,http://www.geigeki.jp/performance/concert086/,2016,東京芸術劇場|豊島区,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""746"";s:6:""備考"";s:0:"""";}"
東京芸術劇場ランチタイム・パイプオルガンコンサート　Vol.118,415,http://www.geigeki.jp/performance/lunchtime_h28/lunchtime_h28-2/,2016,東京芸術劇場,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""678"";s:6:""備考"";s:0:"""";}"
東京芸術劇場ランチタイム・パイプオルガンコンサート　Vol.119,416,http://www.geigeki.jp/performance/lunchtime_h28/lunchtime_h28-3/,2016,東京芸術劇場,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""794"";s:6:""備考"";s:0:"""";}"
東京芸術劇場ナイトタイム・パイプオルガンコンサートVol.16,417,http://www.geigeki.jp/performance/nighttime_h28/nighttime_h28-4/,2016,東京芸術劇場|豊島区,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""849"";s:6:""備考"";s:0:"""";}"
"第66回 ～音のレシピのひみつ～　第2回　ヴェルサイユのオルガニストたち",418,http://www.geigeki.jp/performance/event_organ2016/,2016,東京芸術劇場,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""38"";s:6:""備考"";s:0:"""";}"
民家の間取りと格式,443,,2016,江戸東京たてもの園,,,,,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
鉄道の歴史と都電,445,,2016,江戸東京たてもの園,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
川野商店,446,,2016,江戸東京たてもの園,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
大川邸とクリスマス,447,,2016,江戸東京たてもの園,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
子宝湯と東京の銭湯,448,,2016,江戸東京たてもの園,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
特別展「川崎平右衛門」みどころ,449,,2016,江戸東京たてもの園,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
万世橋交番,450,,2016,江戸東京たてもの園,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
享保の改革と川崎平右衛門,451,,2016,江戸東京たてもの園,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
建築博物館を楽しもう！①「国立近現代建築資料館―その役割と楽しみ方―」,452,http://tatemonoen.jp/about/images/pdf/tatemonoen_dayori_vol_48.pdf,2016,江戸東京たてもの園,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""62"";s:6:""備考"";s:0:"""";}"
建築博物館を楽しもう！②「海外の事例に学ぶ―イギリス、アメリカの建築博物館事情―」,453,http://tatemonoen.jp/about/images/pdf/tatemonoen_dayori_vol_48.pdf,2016,江戸東京たてもの園,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""57"";s:6:""備考"";s:0:"""";}"
建築博物館を楽しもう！③「明治村からたてもの園へ―ライバルへのメッセージ―」,454,http://tatemonoen.jp/about/images/pdf/tatemonoen_dayori_vol_48.pdf,2016,江戸東京たてもの園,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""81"";s:6:""備考"";s:0:"""";}"
スクールプログラム,455,http://tatemonoen.jp/about/volunteer_activity.php,2016,江戸東京たてもの園,,,,,,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""3795"";s:6:""備考"";s:0:"""";}"
博物館ボランティア,457,,2016,江戸東京たてもの園,,,,,7,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""201"";s:6:""備考"";s:0:"""";}"
江戸東京でおもてなし,459,,2016,江戸東京たてもの園,,,,,9,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""766"";s:6:""備考"";s:0:"""";}"
東京くらしの木檜と杉展,460,,2016,江戸東京たてもの園,,,,,31,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""3489"";s:6:""備考"";s:0:"""";}"
"東京大茶会 2016",461,,,,,,,,,
江戸の正月を楽しもう,463,http://tatemonoen.jp/event/info/2017/01.php,2016,江戸東京たてもの園,,,,,9,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:20:""入園者数8,857人"";}"
正月の昔あそび,464,http://tatemonoen.jp/event/info/2017/01.php,2016,江戸東京たてもの園,,,,,38,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:42:""参加者数 2,333人（当日来園者）"";}"
"東京キャラバンin 六本木",468,http://www.roppongiartnight.com/2016/programs/2746,2016,,,,,,3,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""4459"";s:6:""備考"";s:0:"""";}"
大江戸寄席と花街おどり,470,https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/festivals/rakugo/11467/,2016,アーツカウンシル東京,,,東京都|朝日新聞社,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1231"";s:6:""備考"";s:0:"""";}"
第17回　多摩川流域郷土芸能フェスティバル,471,https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/festivals/tama-river-basin-folk-performance/11471/,2016,アーツカウンシル東京|多摩川流域郷土芸能フェスティバル実行委員会,,,東京都,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""679"";s:6:""備考"";s:0:"""";}"
「FORM」,472,https://www.artscouncil-tokyo.jp/ja/events/14090/,2016,株式会社東京国際フォーラム,東京都|アーツカウンシル東京,,,,4,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""2625"";s:6:""備考"";s:0:"""";}"
伝統芸能普及公演　ケルティック能「鷹姫」,473,https://www.artscouncil-tokyo.jp/ja/events/12439/,2016,アーツカウンシル東京,,,東京都|朝日新聞社,アイルランド大使館,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""2044"";s:6:""備考"";s:0:"""";}"
公益財団法人港区スポーツふれあい文化健康財団,481,,2016,公益財団法人東京都歴史文化財団,東京文化会館|公益財団法人港区スポーツふれあい文化健康財団,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1715"";s:6:""備考"";s:0:"""";}"
"江戸川区総合文化センター指定 管理者　サントリーパブリシティサービス株式会社",488,,2016,公益財団法人東京都歴史文化財団,東京文化会館|サントリーパブリシティサービス株式会社,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""834"";s:6:""備考"";s:0:"""";}"
公益財団法人新宿未来創造財団,489,,2016,東京文化会館,東京文化会館|公益財団法人新宿未来創造財団,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""443"";s:6:""備考"";s:0:"""";}"
"足立区西新井文化ホール指定管 理者構成企業　株式会社JTB コミュニケーションデザイン",490,,2016,公益財団法人東京都歴史文化財団,"東京文化会館|株式会社JTB コミュニケーションデザイン",,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""465"";s:6:""備考"";s:0:"""";}"
羽村市,491,,2016,公益財団法人東京都歴史文化財団,東京文化会館|羽村市,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""547"";s:6:""備考"";s:0:"""";}"
公益財団法人大田区文化振興協会,492,,2016,公益財団法人東京都歴史文化財団,東京文化会館|公益財団法人大田区文化振興協会,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""813"";s:6:""備考"";s:0:"""";}"
公益財団法人板橋区文化・国際交流財団,493,,2016,公益財団法人東京都歴史文化財団,東京文化会館|公益財団法人板橋区文化・国際交流財団,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""921"";s:6:""備考"";s:0:"""";}"
公益財団法人調布市文化・コミュニティ振興財団,494,,2016,公益財団法人東京都歴史文化財団,東京文化会館|公益財団法人調布市文化・コミュニティ振興財団,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""596"";s:6:""備考"";s:0:"""";}"
昭島市,495,,2016,公益財団法人東京都歴史文化財団,東京文化会館|昭島市,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""604"";s:6:""備考"";s:0:"""";}"
公益財団法人品川文化振興事業団,496,,2016,公益財団法人東京都歴史文化財団,東京文化会館|公益財団法人品川文化振興事業団,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""678"";s:6:""備考"";s:0:"""";}"
公益財団法人府中文化振興財団,497,,2016,公益財団法人東京都歴史文化財団,東京文化会館|公益財団法人府中文化振興財団,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1315"";s:6:""備考"";s:0:"""";}"
公益財団法人江東区文化コミュニティ財団,498,,2016,公益財団法人東京都歴史文化財団,東京文化会館|公益財団法人江東区文化コミュニティ財団,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""693"";s:6:""備考"";s:0:"""";}"
