id,Title,決算額_year,決算額_price
3978,"国際創造発信事業 マルタン・ズィメルマン「Hallo」",2017,
3980,"国際創造発信事業 「オセロー」",2017,
3982,"国際創造発信事業 「表にでろいっ！」海外公演",2017,
3985,"【人材育成事業】Tokyo Art Reserch Lab",2016,
3986,TACT/FESTIVAL2017,2017,
3994,"アーツアカデミー 東京芸術劇場プロフェッショナル人材養成研修",2017,
4003,[2017]ストリートアーティスト・アカデミー,,
4016,[2017]人材育成・教育普及,2017,
4031,都民芸術フェスティバル,2016,138719388
4061,"「国際演劇年鑑」ワールド・シアター・レポート#File2  「ロシア」 変わりゆくロシア演劇界―サンクト・ペテルブルグを中心に―",2017,
4063,国際演劇協会「紛争地域から生まれた演劇9」,2017,
4065,"演劇系大学共同制作vol.5 『Theatresports™』",2017,
4068,【東京アートポイント計画】アートアクセスあだち　音まち千住の縁,,
4069,劇場の賑わい創造事業,2017,
4134,アーツカウンシル・フォーラム　オープン・フォーラム2017,2016,
4162,東京地域芸術文化助成,2016,5100000
4180,"Tokyo Tokyo FESTIVAL場の開放事業 「都民パフォーマーズコーナー・通称トパコ」",2017,
4200,[2017]東京キャラバン,2017,
4204,東京芸術文化創造発信助成　長期助成プログラム,2016,
4206,"TWS-NEXT @tobikan 「クウキのおもさ」",2016,
4209,"TWS-Emerging 2016",2016,
4217,ワンダーシード2017,2016,
4219,"オープン・スタジオ 2016-2017",2016,
4228,"TWS Creator-in-Residence 2015-2016 Part 3",2016,
4231,"OPEN SITE 2016-2017",2016,
4245,[2017]TURN,2017,
4315,伝統芸能公演,2017,
4322,江戸あそび～日本橋伝統文化フェスティバル2017～,,
4329,伝承のたまてばこ～多摩伝統文化フェスティバル～,2017,
4362,東京文化プログラム助成,2016,
4382,アール・ブリュット事業,2017,
4397,"子供向け舞台芸術参加・公演プログラム こども芸能体験ひろば",2015,7200000
4401,学校と文化施設をつなぐ「ティーチャーズプログラム2017」,2017,
4418,"子供向け舞台芸術参加・公演プログラム 参加・体験・感動！ふれあいこどもまつり",2016,15943000
4435,フレッシュ名曲コンサート,2017,
4437,東京芸術文化創造発信助成　長期助成プログラム,2016,
4502,アート・コミュニケーション事業基盤整備事業,2017,
4577,"若手のための現代音楽企画ゼミ2016 プログラム",2016,
4580,"子供向け舞台芸術参加・公演プログラム 第13回子どもたちと芸術家の出あう街2017",2016,10800000
4583,東京芸術祭,2016,
4633,【東京アートポイント計画】トッピングイースト,,
4674,【東京アートポイント計画】リライトプロジェクト,,
